New column,New column (1)
adréselj,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n adréselj -slja m (ẹ́) nar. dresen m \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ádrica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ádrica -e ž (ā) nar. koroško ruta, rutica: na glavi je imela židano adrico \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
áhle,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n áhle áhel ž mn. (ȃ) nar. priprava za česanje volne; gradaše \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ajdína,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ajdína in ájdina -e ž (í; ȃ) nar. vzhodno ajda: ajdina že zori \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ajdínski,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ajdínski in ájdinski -a -o prid. (ȋ; ȃ) nar. vzhodno ajdov: ajdinska moka / ajdinske pogače \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ájdovec,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ájdovec -vca m (á) \n1. kruh iz ajdove moke: odrezati si kos ajdovca\n2. čeb. ajdov med: letos sem natočil precej ajdovca\n3. mn., nar. ajdovi žganci: Stresi jo [moko] v krušnico, pravijo, da ajdovci olajšajo sapo (Prežihov) \n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ájer,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ájer -ja m (ȃ) nar. zrak: »Zračite!« »Bojimo se zraka. Ajer je strup (D. Lokar) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ájtek,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ájtek -a m (ȃ) nar. vzhodno atek, očka: ajteka ni doma \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
akóv,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n akóv -a m (ọ̑) nar. prostorninska mera za vino, 56 l: Potem ga je vedel med sode. »Ti na tej strani so vsi polni. Trideset akovov ga še imam (M. Kranjec) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ámažnik,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ámažnik -a m (á) nar. berač, revež: potepuhi in amažniki \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
angúrija,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n angúrija -e ž (ú) nar. zahodno lubenica: zeleni olupki angurij / z angurijami zasajena njiva \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ànti,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ànti prisl. (ȁ) nar. izraža samoumevnost; menda: Anti ne boš rekla, da je takale lepa in vesela ljubezen greh? (M. Hus) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
