New column,New column (1)
áfna,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n áfna -e ž (á) nižje pog. opica: afne skačejo po drevesih\n // slabš. človek z nenaravno, izumetničeno zunanjostjo ali vedenjem, zlasti ženska: to je šele afna\n● nižje pog. že spet afne gunca dela ali govori kaj šaljivega \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
afnáti se,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n afnáti se -ám se nedov. (á ȃ) nižje pog. nenaravno, izumetničeno se nositi ali vesti: očital ji je, da se afna \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
arcníja,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n arcníja -e ž (ȋ) nav. mn., nižje pog. zdravilo: vse arcnije vrzi stran, pa boš zdrav! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíti,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bíti sem [səm] nedov., si je smo ste so; bóm bóš bó bómo bóste bódo, stil. bóte bójo, stil. bódem itd.; bódi bódite in bodíte; bíl bilà biló in bilò bilì in bilí bilè stil. bilé, stil. bíla itd.; nikalno nísem nísi ní nísmo níste níso (ī bọ̑m bọ̄dem nísem) \nI. v osebni rabi \n1. izraža materialno ali duhovno navzočnost v stvarnosti: še so stvari, ki jih ne poznamo; ali je kak izhod? red mora biti / poudarjeno sò znamenja, da se obrača na boljše / bolnik ne bo več dolgo; v pravljicah bil je kralj, ki je imel tri sinove\n2. navadno s prislovnim določilom, s širokim pomenskim obsegom izraža navzočnost v prostoru ali času: tukaj je jama, v kateri je raslo drevo; hiša je sredi polja stoji; drva so na dvorišču; v vsakem človeku je kaj dobrega; v knjigi so napake; v vodi je kisik; za gozdom je travnik leži, se razprostira; ekspr. le kaj je na njej, da se je ne more nagledati / otroci so doma; biti na vrtu; čez teden sem v mestu živim, bivam; kje so domači? / biti na proslavi, na zabavi udeležiti se je; biti pri pouku; biti pri zdravniku na pregledu\n // tedaj je bila vojna; v Kamniku je bil semenj; proslava bo v nedeljo / omenjena nesreča je bila včeraj se je zgodila; to je bilo lani\n3. z oslabljenim pomenom, s povedkovim določilom izraža lastnost ali stanje osebka\na) s pregibno besedo: mož je poštenjak; prijatelj je učitelj; otrok je bolan, nadarjen; pšenica še ni zrela; knjiga je moja; klobuk je očetov; ura bo tri / dolžen mu je veliko vsoto; njegov načrt je bil, da bi napadli; on je odgovoren za tovariše; uspehi so rezultat trdega dela / zdaj je čas, da poveste svoje mnenje; ni bila moja dolžnost, naloga popravljati napake\nb) z nepregibno besedo: ta misel ni napak; hiša je naprodaj; obleka mu bo prav; tisoč je preveč / dekle mu je všeč\nc) s predložno zvezo: meso je brez kosti; čevlji so od blata; rana je od noža; biti pri zavesti; biti v neenakopravnem položaju, v slabem stanju; mi smo v sorodu v sorodstvenem odnosu\n // to mi ni po volji mi ne ugaja, ustreza; vse bo še v redu se bo uredilo; dejanja niso v skladu z besedami se ne skladajo; ti boš za pričo / biti brez denarja ne imeti ga, brez težav; vsi so proti njemu mu nasprotujejo, ga odklanjajo; biti ob službo izgubiti jo, ob dobro ime; on je za reforme se strinja z njimi; jih podpira, se zavzema zanje; biti v dvomih; biti v skrbeh, v strahu za koga; drevo je v najlepšem cvetju / vse je na razpolago se lahko vzame\nč) s kakovostnim rodilnikom: vidva sta istih let; on je vesele narave; mož je srednje postave; biti kmečkega rodu; soseda je slabega zdravja; publ. stvar je velikega pomena; mnenja smo, da se motiš\nd) s primerjavo: nebo je kakor oprano; fant ni, kakor bi moral biti; drevo je bilo, kakor bi dremalo / priden, kakor je, ne bo nikoli brez dela\n // izraža istost, enakost: dvakrat dve je štiri; ena in ena je dve; dinar je sto par; kolikokrat je dve v osem / pedagogika je nauk o vzgoji / pride jutri, to je v torek\nII. v brezosebni rabi ali brezosebno v pomenih kakor pod I.\na) z zanikanim osebkom v rodilniku: očeta še ni; jutri ne bo šole; pri tej hiši ni miru / ni ga človeka, ki bi mi pomagal\nb) s smiselnim osebkom v odvisnem sklonu: žal mi je bilo; zelo jo je bilo groza; mater je strah; z njim je slabo; star. vseh je bilo sram vse\n // njej je bilo dvajset let bila je stara\n // ekspr. kaj bo s teboj se bo zgodilo\nc) z delnim rodilnikom kot osebkom, navadno odvisnim od izraza količine: kruha je še in mesa tudi; kupcev je bilo dosti; denarja je le malo; ali je kaj novega; pet jih je bilo; vsi, kar jih je, so pripravljeni\nč) z nedoločnikom kot osebkom: molčati je bilo težko, govoriti še težje; škoda bi ga bilo zavreči / treba je delati\nd) z odvisnim stavkom kot osebkom: očitno je bilo, da se moti; všeč mi je, če ostaneš doma; znano je, kakšno vlogo je imela Partija v osvobodilnem boju\ne) s prislovno rabljenim izrazom v povedku: dolgčas je; otroka mu ni bilo mar; skoraj bo poldne; na Bledu je bilo lepo; slabó ji je bilo; škoda ga je; jeseni je bilo tri leta, odkar je odšel minilo\nIII. v osebni ali brezosebni rabi, navadno s prislovno rabljenim samostalnikom v pomenih kakor pod I.: mraz je bil ali bilo, da je drevje pokalo; zunaj je bila ali bilo tema / takrat ni bil čas za pogajanje pravi čas, ni bilo časa za pogajanje dovolj časa; zdaj ni govor o premirju se ne govori; zdaj še govora ni o premirju še misliti ni nanj\nIV. eliptično navadno za poživitev pripovedi\na) z izpuščanjem deležnika s polnim pomenom: prišla je, seveda je; pa učil, kdo se bo? ali bi kaj jedel? Bi; vsak en kozarček ga bova; kaj bomo pa zdaj?\nb) z izpuščanjem dela povedka sploh: klop je iz kamna narejena, izdelana; fant je s Primorskega doma; ti čevlji so za v dež primerni, dobri; fant ni za šolo sposoben; ekspr. iz glave si jo izbij, pa je / hvala lepa. Ni za kaj\n // v zvezi z nedoločnikom za izražanje možnosti ali nujnosti: žive duše ni bilo videti; kakor je slišati, dobimo nov zakon; knjiž. tako se je spremenila, da je skoraj ni spoznati ni mogoče; nižje pog. temu človeku ni za pomagati ni mogoče pomagati; star. te že naučim, kako se ti je vesti je treba\nV. kot pomožni glagol, z opisnim ali trpnim deležnikom za tvorbo časov, naklonov ali načinov: bo delal, je delal, je bil izdelal; bi delal, bi bil delal; je izdelan / v ekspresivni rabi stoji pomožni glagol tudi na začetku stavka sem si kar mislil, da je nekaj narobe\n● ekspr. kar je, je nič se ne da spremeniti; ekspr. no, ali bo že kaj! čas je že, da se naredi; ekspr. dekle je lepo, da je kaj zelo; obleka je bila deset tisoč dinarjev je stala; ekspr. ta je pa lepa! česa takega nisem pričakoval; to mi ni prav nič všeč; ekspr. še tega je bilo treba to ni bilo prav nič potrebno; to mi je odveč; prav mu je zasluži, da se mu tako godi; ekspr. bilo mu je, da bi zavriskal, zajokal tako je bil vesel, žalosten; ekspr. o tem ni da bi govoril ni potrebno, ni vredno; zakon je za vse velja; biti na glasu biti znan, sloveti; ali vam je znano, kaj je na stvari če je res in koliko je res; knjiž. na tebi je, da spregovoriš ti si na vrsti, ti si dolžen; krompir je po sto dinarjev se prodaja, kupuje; ekspr. po njem je izgubljen je, mrtev je; otrok je po očetu ima njegove lastnosti; ne vem, pri čem smo kakšen je naš položaj; biti pri sebi zavedati se; biti krepek; ekspr. ves dan je v knjigah samo bere; fant je sam zase ne mara za družbo; ekspr. dež ni in ni nehal kar naprej je deževalo; sam.: knjiž. boj za biti ali ne biti za življenje, za obstanek; prim. bom, bil, bi, bodi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bolováti,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bolováti -újem nedov. (á ȗ) nižje pog. biti bolan, bolehati: bolovati za revmo / že dva meseca boluje je na bolezenskem dopustu \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bréj,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bréj -a -e prid. (ẹ́) navadno v ženskem spolu ki bo imel mladiče: breja krava, svinja; nižje pog. siten kakor breja mačka\n // knjiž., ekspr. obilen, nabrekel: kosmi brejih oblakov \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bríht,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bríht -i ž (ȋ) nižje pog. pamet, razum: biti pri brihti / bolnik je že pri brihti pri zavesti \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
brítof,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n brítof -a m (ȋ) nižje pog. pokopališče: dolgo so hodili po britofu / vulg. imel je trojen podbradek in kurji britof velik trebuh \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
cágati,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n cágati -am nedov. (á) nižje pog. obotavljati se, omahovati: kaj cagate in čakate\n // obupavati: ne cagaj, vse se bo še uredilo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
cágav,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n cágav -a -o prid. (á) nižje pog. neodločen, malodušen: cagav mož; bil je boječ in cagav\ncágavo prisl.: konj cagavo vleče voz leno, počasi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
