New column,New column (1)
a,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n a prisl., pog. uvaja vprašanje; ali, kaj: a misliš, da si doma? a si ga videl? si lačen, a ne? / a bo mir ali ne! / a tako? \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
à,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n à prisl. (ȁ) pog., v medmetni rabi izraža veliko mero povedanega; àli, to: a bo gledal! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
Ábraham,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n Ábraham -a m (ȃ) pog., šalj., v zvezi srečati, videti Abrahama dočakati petdeset let: dragemu kolegu, ki je te dni srečal Abrahama, kličemo: še na mnoga leta \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ádidaska,"SNB Kliknite, če želite geslo skopirati v odložišče \n \n ádidaska -e ž (ȃ) nav. mn., pog. \nšportna copata; supergaSSKJ, teniska: nositi adidaske; obuti adidaske; Hoja v adidaskah je v primerjavi s hojo v čevljih pravi užitek – kot da bi bos stopal po mehki travi E po imenu nem. tovarne Adidas iz ljubkovalnega imena Adi in prvega zloga priimka ustanovitelja Adolfa Dasslerja (1900–1978) \nSlovar novejšega besedja slovenskega jezika, www.fran.si, dostop 4. 12. 2016."
adíjo,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n adíjo medm. (ȋ) pog. izraža pozdrav pri slovesu, zbogom: no, pa adijo! zaklical mu je adijo / ekspr. adijo, bratec, takih lenob ne potrebujemo; zameriš se mu in potem adijo služba\n● Ameriki je rekel za zmerom adijo jo je zapustil; izplačaš ga in adijo si se ga znebil; sam.: Daj mi roko in lep adijo! (I. Cankar) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
advokát,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n advokát -a m (ȃ) kdor poklicno daje pravno pomoč; odvetnik: izročiti zadevo advokatu; posvetovati se z advokatom / pog.: dal jo bo advokatu vložil bo tožbo proti njej; vzeti si advokata\n // ekspr. kdor govori komu v prid, zagovornik: ne bom ti za advokata / advokati starega sistema \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
afêra,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n afêra -e ž (ȇ) pozornost vzbujajoča nečedna zadeva ali dogodek: bil je zapleten v neko afero; politična, velika špijonska afera / njene ljubezenske afere / pog., ekspr. iz te malenkosti je nastala cela afera \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
afežéjevka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n afežéjevka -e ž (ẹ̑) pog. članica Antifašistične fronte žena Jugoslavije \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
áfna,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n áfna -e ž (á) nižje pog. opica: afne skačejo po drevesih\n // slabš. človek z nenaravno, izumetničeno zunanjostjo ali vedenjem, zlasti ženska: to je šele afna\n● nižje pog. že spet afne gunca dela ali govori kaj šaljivega \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
afnáti se,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n afnáti se -ám se nedov. (á ȃ) nižje pog. nenaravno, izumetničeno se nositi ali vesti: očital ji je, da se afna \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
agítka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n agítka -e ž (ȋ) pog. agitaciji namenjeno umetniško delo, navadno igra: film je naivna agitka; igrali so sovjetske agitke; igra se ob koncu sprevrže v agitko; politična agitka\n // redko priložnostna kulturniška skupina: za kulturo in prosveto pri brigadirjih bodo skrbele agitke \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
agresívec,"SNB Kliknite, če želite geslo skopirati v odložišče \n \n agresívec -vca m, člov. (ȋ) pog. \nnapadalen, nasilen človek; agresivnež: Kot udeleženec v javnem prometu boste zlahka opazili, da je agresivcev vse več E univerbizirano iz agresíven člôvek \nSlovar novejšega besedja slovenskega jezika, www.fran.si, dostop 4. 12. 2016.; agresívec -vca m, člov. (ȋ) pog. \nnapadalen, nasilen človek; agresivnež: Kot udeleženec v javnem prometu boste zlahka opazili, da je agresivcev vse več E univerbizirano iz agresíven člôvek \nSlovar novejšega besedja slovenskega jezika, www.fran.si, dostop 4. 12. 2016."
àja,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àja medm. (ȁ) pog. izraža zavrnitev: aja, nočem \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; àja medm. (ȁ) pog. izraža zavrnitev: aja, nočem \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àjdi,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àjdi in àjd -te medm. (ȁ) pog. hitro! pojdi!: ajdi, ajdi, čas je! ajdi na delo! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; àjdi in àjd -te medm. (ȁ) pog. hitro! pojdi!: ajdi, ajdi, čas je! ajdi na delo! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àjmo,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àjmo àjte medm. (ȁ) pog., redko hitro! pojdimo!: ajmo, brž na smučke; prim. ajdi \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; àjmo àjte medm. (ȁ) pog., redko hitro! pojdimo!: ajmo, brž na smučke; prim. ajdi \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
à jour,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n à jour [ažúr] prisl. (ȗ) pog. brez zaostanka v dnevnem delu; na tekočem: v našem oddelku smo vedno à jour \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; à jour [ažúr] prisl. (ȗ) pog. brez zaostanka v dnevnem delu; na tekočem: v našem oddelku smo vedno à jour \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
akrabòlt,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n akrabòlt medm. (ȍ) pog. izraža podkrepitev trditve: akrabolt, ta pa zna! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; akrabòlt medm. (ȍ) pog. izraža podkrepitev trditve: akrabolt, ta pa zna! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àla,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àla medm. (ȁ) pog. \n1. izraža ukaz, spodbudo; alo: ala, otroci, brž spat! ti pa domov, ala!\n2. izraža presenečenje; na!: komaj si urediš, ala, pa ti odpove stanovanje\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; àla medm. (ȁ) pog. \n1. izraža ukaz, spodbudo; alo: ala, otroci, brž spat! ti pa domov, ala!\n2. izraža presenečenje; na!: komaj si urediš, ala, pa ti odpove stanovanje\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
alárm,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n alárm -a m (á) \n1. zvočni znak, ki opozarja na bližajočo se nevarnost, poplah: dati alarm proti požaru; gasilski, letalski alarm / sirene tulijo alarm; četni trobentač je zatrobil alarm\n♦ strojn. zvočni ali optični znak, ki opozarja, da je stroj v nevarnosti\n // čas nevarnosti, zlasti ob letalskih napadih: alarm je trajal pol ure; med alarmom so bili v zaklonišču; sirene naznanjajo konec alarma\n2. pog., ekspr. nemir, hrup: ves ta alarm je nepotreben; njihov prihod je vzdignil velik alarm\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; alárm -a m (á) \n1. zvočni znak, ki opozarja na bližajočo se nevarnost, poplah: dati alarm proti požaru; gasilski, letalski alarm / sirene tulijo alarm; četni trobentač je zatrobil alarm\n♦ strojn. zvočni ali optični znak, ki opozarja, da je stroj v nevarnosti\n // čas nevarnosti, zlasti ob letalskih napadih: alarm je trajal pol ure; med alarmom so bili v zaklonišču; sirene naznanjajo konec alarma\n2. pog., ekspr. nemir, hrup: ves ta alarm je nepotreben; njihov prihod je vzdignil velik alarm\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àli,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àli in ali vez. (ȁ) \n1. v ločnem priredju za vezanje stavkov ali stavčnih členov\na) ki se vsebinsko izključujejo: vaščani so se poskrili po kleteh ali pobegnili v gozd; ranjena zver pobegne v goščavo, da tam ozdravi ali pogine; jaz ali ti, eden mora odnehati; recite da ali ne / ali ne more ali noče, uči se ne; bodisi star ali mlad, vsak se boji umreti; včasih okrepljen ali ubogaj ali boš pa tepen v nasprotnem primeru\nb) ki kažejo na možnost izbire: naročiti se na vso zbirko ali na posamezne knjige; naj pride v šolo ali oče ali mati ali kdo drug; pisar. nastop službe takoj ali po dogovoru / srbski ali hrvatski jezik; marec ali sušec; nekdaj, v naslovih knjig Veseli dan ali Matiček se ženi\n // za popravek ali dopolnitev prej povedanega: upanja je zelo malo ali pa nič; vrne se čez dve uri ali še prej; za vasjo je ribnik ali, bolje rečeno, mlaka; poslušaj, ti Janez, ali kako ti je že ime!\n● pog. leto dni ali kaj je od tega približno; ekspr. prej ali slej bomo tudi z njim obračunali nekoč gotovo; ekspr. čemu opomini, saj jih tako ali tako ne posluša sploh ne; ekspr. rada ali nerada, vrnila se bo tudi proti svoji volji; ekspr. naj bo tako ali drugače, jaz ostanem kakorkoli\n2. raba peša, v protivnem priredju za izražanje\na) nasprotja s prej povedanim; pa, a, toda: bil je velik čudak, ali otroci se ga niso bali; stopil je za njo, ali ker se ni ozrla, se je obrnil; ekspr. denar ima, ali kaj (mu pomaga), ko pa ne ve, kam z njim / včasih okrepljen odpustil je, ali krivice vendar ni mogel pozabiti\nb) nepričakovane posledice: konjički so majhni, ali neverjetno žilavi\n3. v vprašalnih odvisnih stavkih za uvajanje vprašanja: še enkrat te vprašam, ali boš šel / kaj pravite, ali bi šli ali pa bi še malo posedeli\n // za izražanje domneve, negotovosti: ne vem, ali je še živ; ali tekma sploh bo, še ni prav nič gotovo\n4. ekspr., v prislovni rabi za izražanje zahteve po odločitvi za eno od dveh možnosti: moraš se odločiti: ali — ali\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; àli in ali vez. (ȁ) \n1. v ločnem priredju za vezanje stavkov ali stavčnih členov\na) ki se vsebinsko izključujejo: vaščani so se poskrili po kleteh ali pobegnili v gozd; ranjena zver pobegne v goščavo, da tam ozdravi ali pogine; jaz ali ti, eden mora odnehati; recite da ali ne / ali ne more ali noče, uči se ne; bodisi star ali mlad, vsak se boji umreti; včasih okrepljen ali ubogaj ali boš pa tepen v nasprotnem primeru\nb) ki kažejo na možnost izbire: naročiti se na vso zbirko ali na posamezne knjige; naj pride v šolo ali oče ali mati ali kdo drug; pisar. nastop službe takoj ali po dogovoru / srbski ali hrvatski jezik; marec ali sušec; nekdaj, v naslovih knjig Veseli dan ali Matiček se ženi\n // za popravek ali dopolnitev prej povedanega: upanja je zelo malo ali pa nič; vrne se čez dve uri ali še prej; za vasjo je ribnik ali, bolje rečeno, mlaka; poslušaj, ti Janez, ali kako ti je že ime!\n● pog. leto dni ali kaj je od tega približno; ekspr. prej ali slej bomo tudi z njim obračunali nekoč gotovo; ekspr. čemu opomini, saj jih tako ali tako ne posluša sploh ne; ekspr. rada ali nerada, vrnila se bo tudi proti svoji volji; ekspr. naj bo tako ali drugače, jaz ostanem kakorkoli\n2. raba peša, v protivnem priredju za izražanje\na) nasprotja s prej povedanim; pa, a, toda: bil je velik čudak, ali otroci se ga niso bali; stopil je za njo, ali ker se ni ozrla, se je obrnil; ekspr. denar ima, ali kaj (mu pomaga), ko pa ne ve, kam z njim / včasih okrepljen odpustil je, ali krivice vendar ni mogel pozabiti\nb) nepričakovane posledice: konjički so majhni, ali neverjetno žilavi\n3. v vprašalnih odvisnih stavkih za uvajanje vprašanja: še enkrat te vprašam, ali boš šel / kaj pravite, ali bi šli ali pa bi še malo posedeli\n // za izražanje domneve, negotovosti: ne vem, ali je še živ; ali tekma sploh bo, še ni prav nič gotovo\n4. ekspr., v prislovni rabi za izražanje zahteve po odločitvi za eno od dveh možnosti: moraš se odločiti: ali — ali\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
álter,"SNB Kliknite, če želite geslo skopirati v odložišče \n \n álter -- prid. (ȃ) pog. \nki je, obstaja kot druga možnost, izbira poleg česa, kar je splošno priznano, običajno, uradno; alternativni: alter glasba; alter kultura; Metelkova je slovensko središče alter kulture \n// ki zagovarja drugačna, nasprotna načela, stališča od ustaljenih, običajnih, uradnih: Režiser filma je alter, toda obenem je po svojem karakterju ravno dovolj mainstream, da si ne upa v čisti eksperiment in popolno, nepredvidljivo improvizacijo – glej tudi álter... E ↑alter(natívni)\nálter scéna -- -e in álterscéna -e ž (ȃ, ẹ̑) \n1. področje udejstvovanja in uveljavljanja drugačnega, nasprotnega od ustaljenega, običajnega, uradnega; alternativna scena (1): Meni, da se je punk pojavil kot začetek alter scene \n2. skupina ljudi, ki zagovarja drugačna, nasprotna načela, stališča od ustaljenih, običajnih, uradnih; alternativa (1), alternativna scena (2): Stavbo je zasedla ljubljanska alter scena \n \nSlovar novejšega besedja slovenskega jezika, www.fran.si, dostop 4. 12. 2016."
