bes,besedilo
ángel,"ángel -a m (á) \n1. rel. dobro duhovno bitje, ki biva zunaj vidne narave: čisti, dobri angeli; zbori angelov; lepa, dobra je kot angel / evfem. hudobni angel satan, hudič; angel varuh / angel gospodov zvonjenje zjutraj, opoldne in zvečer ali molitev za to priliko\n // pesn. angel miru; angel smrti smrt\n // angel iz belega marmorja\n2. ekspr. zelo dober človek, navadno ženska: moja mati je bila angel; vidiš, tak je, ti pa si ga imel za angela / kot nagovor angel moj\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
begôten,"begôten -tna -o prid. (ó) pesn. \n1. kratkotrajen, bežen: begoten pogled, privid, trenutek; begotna misel / komaj zaznaven, begoten smehljaj\n2. ki se hitro časovno odmika: begotno življenje; tek begotnih let\n // ki se hitro premika: begotna senca se lovi po ulici\nbegôtno prisl.: oči so mu begotno obstale na njej\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bél,"bél -a -o stil. -ó [beu̯] prid. (ẹ́) \n1. ki je take barve kot sneg ali mleko, ant. črn: bel cvet; beli čevlji; bel konj, labod; bel papir; prt je bel; bela barva; obleči belo srajco; bela vrtnica; bleščeče, snežno bel; modrikasto, umazano bel; bel kot mleko, sneg, zid; črno-bel vzorec; belo-modro-rdeča zastava slovenska zastava\n // pesn.: bela cesta; bela Ljubljana; bela smrt; belo mesto; v ljudski pesmi, v pravljicah stoji tam beli grad / izobesili so belo zastavo kot znamenje vdaje; publ. naše bele ladje potniške ladje\n2. ki je svetle barve: po nebu plava bel oblaček; bel obraz, vrat; ima belo polt; biti belih lic; mrtvaško, prsteno bel; črno-beli film film, ki kaže sliko samo v vseh odtenkih sive barve, od črne do bele; črno-bela tehnika / pesn.: beli mesec; skozi okno lije bela mesečina; bele zvezde; belo jutro / beli gospodarji so jih izkoriščali ljudje bele rase; bel(i) kruh kruh iz bele moke; bela kava kava z dodatkom mleka; bela moka pšenična moka, ki vsebuje majhno količino otrobov; belo vino vino rumenkaste, zelenkaste barve\n // ki ima plodove ali gomolje svetle barve: bel krompir; bela murva / bela detelja\n // v zvezi z lasje, brada svetlo siv: častitljivi beli lasje\n // ekspr., z oslabljenim pomenom, v zvezi z dan, zora poudarja pomen samostalnika, na katerega se veže: zgodilo se je sredi belega dne; plesali so do belega dne, do bele zore vso noč, do jutra; ob, pri belem dnevu se je sprehajal z njo podnevi; ne skrivaj, javno; to je jasno kot beli dan\n3. redko nepopisan, neizpolnjen: na mizi pred njim je bil bel list / bele lise na zemljevidu neraziskano ozemlje, področje\n4. nanašajoč se na protirevolucionarje, desničarje: vas je bila med vojno bela / bela garda protirevolucionarna organizacija med narodnoosvobodilnim bojem v Sloveniji; protirevolucionarna organizacija med državljansko vojno po oktobrski revoluciji\n● star. bel denar srebrn denar; publ. beli kontinent Antarktika; star. beli menihi cistercijani; publ. beli premog vodna moč, ki se da izkoriščati za pogon elektrarn; publ. beli rudarji delavci na naftnih poljih; Bela hiša sedež predsednika Združenih držav Amerike v Washingtonu; knjiž. bela Istra kraški del Istre; knjiž. knjiga je zagledala beli dan je izšla; publ. bela kuga čezmerno omejevanje rojstev; knjiž. to so bile njene bele noči noči brez spanja; knjiž. bela odeja pokriva zemljo sneg; knjiž. predajati se beli opojnosti veselju, športu v zimski naravi; publ. plazovi v gorah grozijo z belo smrtjo s smrtjo v snegu; star. obleči belo suknjo nastopiti vojaško službo; ekspr. tak delavec je v podjetju bela vrana redkost, izjema; pesn. bela žena smrt; publ. mojstri bele žogice namiznega tenisa; publ. trgovina z belim blagom z dekleti; ekspr. če pravim jaz, da je belo, trdi on, da je črno najini mnenji si popolnoma nasprotujeta; ni ne belo ne črno je neizrazito, nejasno; zelen božič, bela velika noč če o božiču ni snega, je o veliki noči\n♦ agr. bela žita pšenica, rž, ječmen, oves; antr. bela rasa; biol. bela krvnička ali belo krvno telesce brezbarvna krvna celica, ki se giblje s panožicami; bot. beli gaber, javor, trn; bela omela grmičasta rastlina z belimi jagodami, ki raste na vejah listnatega drevja, Viscum album; gastr. bela klobasa klobasa z nadevom iz riža ali kaše, mesa in drobovine; bela riba morska riba boljše vrste; belo meso kokošje, telečje meso; geogr. Bela krajina; bele noči kratke, svetle noči v visokih zemljepisnih širinah; grad. beli cement cement, ki je skoraj brez železovih primesi; kem. beli fosfor; bela galica cinkov sulfat; lit. črno-bela tehnika prikazovanje oseb ali dogodkov, pri katerem so nekateri samo pozitivni, drugi pa samo negativni; med. beli tok bel ali rumenkast izcedek iz nožnice; metal. beli žar temperatura, pri kateri zažarijo trdna ali plinasta telesa belo; bela kovina zlitina bakra, cinka in svinca; min. beli svinčenec rudnina svinčev karbonat; obrt. bela vezenina vezenina, narejena z belo nitjo na belo tkanino; polit. bela knjiga zbirka mednarodnih diplomatskih dokumentov, ki jih kaka država objavi o državi, s katero je v sporu; rel. bela barva v bogoslužju simbol čistosti, veselja, luči; bela nedelja prva nedelja po veliki noči; šah. bela figura; bela polja; trg. bela posoda posoda iz porcelana; vet. bela črta trak kit, na katerem so priraščene trebušne mišice; ozka belkasta proga ob nosilnem robu kopita; zool. beli medved; bela uš\nbélo prisl.: belo cvesti; belo se oblačiti; belo bleščeči biseri; belo oprana obleka; belo pogrnjena miza / piše se narazen ali skupaj: belo lisast ali belolisast; belo pikčast; belo rožnat; belo siv; belo zelen\n● belo me je pogledal jezno; starka je belo strmela vanje tako da se je videla beločnica; ekspr. na grobu je bilo vse belo krizantem zelo veliko belih krizantem\nbéli -a -o sam.: beli ima potezo kdor igra pri šahu z belimi figurami; kurir je padel v zasedo belih belogardistov, domobrancev; star. ta bela s koso smrt; ekspr. ni črhnil, rekel, zinil ne bele ne črne molčal je; ni povedal svojega mnenja; obrača oči, da se mu vidi belo samo beločnica; na belo mleta pšenica na fino obdelanem mlinskem kamnu; v belo oblečen; ekspr. dobil boš črno na belem napisano izjavo, potrdilo; ekspr. dokazati črno na belem pismeno; neizpodbitno, popolnoma; gore so že v belem pokrite s snegom; pogledati z belim z beločnico; jezno; vipavsko belo belo vino; pog. liter belega in sodo belega vina; v daljavi je bilo videti nekaj belega; nevesta v belem v beli obleki\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
beléti,"beléti -ím nedov., béli (ẹ́ í) postajati bel, svetel: lasje mu že belijo; oblaki so beleli in naznanjali zarjo\n // pesn. belo se odražati, bleščati se: sneg je belel v soncu \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belíca,"belíca -e ž (í) rabi se samostojno ali kot prilastek \n1. belkasta žival: kokoš belica\n2. svetel sadež ali rastlina, ki ga rodi: češnja, figa belica; pesn. pšenica belica\n3. nar. prekmursko jajce: ubiti belico v juho\n♦ agr. belica konoplja z moškimi cveti; zool. belica majhna srebrno bela sladkovodna riba, Leucaspius delineatus; kuna belica\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belogrúd,"belogrúd -a -o prid. (ȗ ū) pesn. ki ima bele grudi: belogrudo dekle / belogrudi labodi \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
béžen,"béžen -žna -o prid. (ẹ́ ẹ̄) knjiž. \n1. na hitro, mimogrede opravljen: samo bežen pogled v zgodovino potrjuje to domnevo; bežen prikaz dogodkov; bežni vtisi, zapiski\n2. ki traja malo časa; kratkotrajen: za bežen trenutek bi jo rad videl; to je le bežna misel; bežna sreča, želja\n // pesn. komaj zaznaven, rahel: bežen smehljaj; bežne sence\n3. pesn. ki se hitro premika: bežen val; trenutek je šel mimo kakor bežen veter\nbéžno prisl.: jubilantov bežno orisani družbeni profil; bežno ga je ošinila\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíser,"bíser -a m (ȋ) \n1. okroglasta tvorba iz školjk, rabljena za nakit: biser se lesketa; iskati bisere; bleščeči biseri; ogrlica iz biserov; pren., pesn. nebo je posejano z biseri; solzni biseri; biseri rose\n● bibl. metati bisere svinjam dajati, dati komu duhovno ali materialno dobrino, ki je ne zna ceniti\n // biseru podoben izdelek: stekleni biseri\n2. ekspr. kar zaradi izredne lepote, plemenitosti vzbuja občudovanje: to dekle je pravi biser; biseri literature\n♦ agr. fruškogorski biser peneče se belo vino iz okolice Fruške gore; kem. boraksov biser prozorna steklasta kroglica iz boraksa za ugotavljanje kovinskih oksidov; obrt. ohridski biseri umetno narejene kroglice za nakit, pokrite s srebrnkasto snovjo iz ribjih luskin\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíti,"bíti bíjem nedov., 3. mn. stil. bijó; bìl (í ȋ) \n1. močno, ostro zadevati se ob kaj: dež bije ob okna; plešoče noge bijejo ob tla; debele kaplje so mu bile v lice; veter jim bije v obraz; toča bije po strehi / preh., pesn. kolesa bijejo enakomerno pesem; pren. luč bije v oči; trušč nam bije v ušesa\n // udarjati z nogo, z roko ob kaj: biti s pestjo po mizi; konji bijejo s kopiti ob tla / konj bije in grize brca; togotno biti okoli sebe\n2. dajati komu udarce: bije in udriha; biti do krvi; biti po glavi; bije ga kot živino; biti se po čelu\n // knjiž., z notranjim predmetom udeleževati se oboroženega boja: biti odločilno bitko; biti boj s sovražnikom; bitke se bijejo; pren. biti hude duševne boje\n3. navadno v zvezi z ura z zvočnim znakom naznanjati čas: ima stensko uro, ki bije; preh. njihova ura bije tudi četrti; ura kaže tri in bije dve; pol bije; nar. ura je bila osmo osem; brezoseb. deset je bilo; pravkar bije pet\n4. navadno v zvezi s srce s širjenjem in krčenjem ritmično poganjati kri po žilah: srce mu še bije; srce bije divje, hitro; srce bije kot kladivo / žila komaj še bije / knjiž. kri živahno bije po žilah\n5. v zvezi biti plat zvona z udarjanjem na zvon naznanjati nevarnost, nesrečo: ko je videl, da gori, je stekel v zvonik in začel biti plat zvona; brezoseb. plat zvona je bilo; pren. problem ni tako hud, da bi bilo treba biti plat zvona\n // star. z udarjanjem povzročati, da glasbilo oddaja glasove; igrati, tolči: biti na cimbale; biti v boben\n6. knjiž., redko širiti se, prihajati od kod: iz zidu bije hlad; pren. iz njegovih besed bije sovraštvo\n● kap bije na prag od konca strehe padajo kaplje na prag; knjiž. na koga bije sum kdo je osumljen; vznes. zdaj bije naša ura zdaj je nastopil ugoden čas za nas, za naše delo; zdaj smo mi na vrsti, da kaj storimo; ekspr. zadnja ura mu bije umira; skrajni čas je, da to stori; ekspr. njegovemu tiranstvu bije zadnja ura bliža se konec njegovega tiranstva; vznes. zdaj bije ura ločitve zdaj se moramo ločiti; iron. saj vemo, koliko je ura bila kakšen je položaj; star. tuja vrata ga bodo bila po petah ne bo imel svojega doma; ekspr. kaj ga pa biješ kaj počenjaš neumnosti; biti (si) takt s palico dajati (si) takt; raba peša otroci bijejo žogo igrajo nogomet; rumena barva hiše bije v oči neprijetno učinkuje; njegovo vedenje bije v oči je zelo opazno; star. srce mu za drugo bije ljubi drugo\n♦ etn. kozo biti otroška igra, pri kateri igralci mečejo v stoječ predmet kamne, da bi ga prevrnili; rihtarja biti družabna igra, pri kateri eden od igralcev ugiba, kdo ga je udaril po zadnjici\nbíti se \n1. udeleževati se oboroženega spopada, boja: biti se za svobodo; biti se do zadnje kaplje krvi, do zadnjega; biti se na življenje in smrt; pren. novo se bije s starim\n // knjiž. dvobojevati se: zaradi žalitve se je bil z njim; star. biti se na sablje\n2. zelo si prizadevati za kaj: bili so se za delavske pravice\n3. biti v nasprotju s čim: tako ravnanje bi se bilo z njegovimi nazori / barve se bijejo med seboj\nbijóč -a -e: stopala je, bijoč s palico ob tla; bijoča ura; burno bijoče srce; v oči bijoča neumnost\nbít -a -o nar.: hiša iz bite ilovice zbite, steptane; deca je večkrat »bita ko sita« (I. Potrč) tepena\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bléd,"bléd -a -o tudi -ó prid., tudi bledéjši (ẹ̑ ẹ́) \n1. ki je brez zdrave naravne barve: bled obraz; otrok je bled; blede ustnice; biti bledih lic; mrtvaško, smrtno, voščeno bled; čisto, ves bled; bled od jeze, od strahu; bled v obraz; bled kakor kreda, smrt, stena, kot zid; postajati bled bledeti\n // ki je nenasičene, neizrazite barve: bled čaj; bolj bleda stran lista; bledo črnilo\n // ki je brez močnega sijaja, svetlobe: bleda luč, mesečina, svetloba; bledo nebo; pesn. bleda luna\n2. ekspr. ki je brez izrazitih potez, značilnosti: bled nasmeh, pojem, spomin; blede besede; to je bleda slika resnice; bledo epigonstvo\n // ekspr., z oslabljenim pomenom poudarja pomen samostalnika, na katerega se veže: bleda groza, zavist\nblédo tudi bledó prisl.: bledo se nasmehniti, spominjati; bledo orisani značaji / piše se narazen ali skupaj: bledo zelen ali bledozelen travnik; bledo modrikasta žila; bledo rdeča zarja; bledo rjava uniforma; bledo rožnata vrtnica; bledo rumena barva strnišča; bledo sinje nebo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
