a,"a vez., knjiž. \n1. v protivnem priredju za izražanje\na) nasprotja s prej povedanim; pa, toda, vendar: prej so ga radi imeli, a zdaj zabavljajo čezenj; to so besede, a ne dejanja; drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja / včasih okrepljen bilo ji je malo nerodno, a vendar tako lepo pri srcu\nb) nepričakovane posledice: tipal je po temni veži, a vrat ni našel; postarala se je, a ni ovenela\n // za omejevanje: to more ugotoviti samo zdravnik, a še ta težko; bral je, a samo kriminalke\n // na začetku novega (od)stavka za opozoritev na prehod k drugi misli: A vrnimo se k stvari! A dopustimo možnost, da se motimo\n2. redko, v vezalnem priredju za navezovanje na prej povedano; in, pa: sin je šel z doma, a hči se je omožila v sosednjo vas / nevesta se sramežljivo smehlja, a rdečica ji zaliva lice\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ábelstvo,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ábelstvo -a s (ā) knjiž. lastnost ali ravnanje, podobno Abelovemu: abelstvo in kajnovstvo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
abrúpten,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n abrúpten -tna -o prid. (ȗ) knjiž. ki je brez zveze, odtrgan: članek dela vtis, ko da je sestavljen iz abruptnih notic \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
absolutizácija,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n absolutizácija -e ž (á) knjiž. pripisovanje absolutne veljavnosti relativno veljavnim stvarem: absolutizacija nauka \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
absolutizírati,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n absolutizírati -am nedov. in dov. (ȋ) knjiž. absolutno veljavnost pripisovati relativno veljavnim stvarem: nobenega področja življenja ni hotel absolutizirati; absolutizirati pogojno znanstveno resnico\nabsolutizíran -a -o: absolutizirane ideje\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
absolútnost,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n absolútnost -i ž (ȗ) knjiž. lastnost absolutnega: absolutnost in relativnost gibanja; zanikati načelo absolutnosti / absolutnost in kategoričnost tega vladarja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
absolútum,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n absolútum in absolút -a m (ȗ) knjiž. kar je absolutno: človek kot absolutum postaja gospodar narave\n♦ filoz. brezpogojni, prvi in zadnji vzrok vsega, kar je \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
abstrákcija,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n abstrákcija -e ž (á) knjiž. proces odmišljanja: biti zmožen abstrakcije; znanstvena abstrakcija; metoda abstrakcije\n // kar je abstraktno: osebe v romanu so gola abstrakcija; razložil je abstrakcijo na sliki / razstavlja svoje prve abstrakcije \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
abstráktum,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n abstráktum tudi abstrákt -a m, mn. abstrákta s tudi abstrákti m tudi abstráktumi m (ȃ) knjiž. kar je nastalo z abstrakcijo: njegove osebe so čisti abstraktum\n♦ lingv. abstraktni samostalnik \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
abstrúzen,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n abstrúzen -zna -o prid. (ȗ) knjiž. težko razumljiv, nejasen: abstruzen predlog; abstruzna domislica; abstruzno izražanje \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
abstrúznost,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n abstrúznost -i ž (ȗ) knjiž. lastnost abstruznega: abstruznost trditve \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
abúzus,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n abúzus -a m (ȗ) knjiž. zloraba: abuzus položaja\n // čezmerno uživanje: abuzus alkohola, nikotina \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àd,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àd prisl. (ȁ) knjiž. glede na, k: pripombe ad 1; ad čl. 2 zakona \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
adaptácija,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n adaptácija -e ž (á) \n1. preureditev, prenovitev: adaptacija starih zgradb; adaptacija hiše za poslovne prostore / zaradi adaptacije lokal zaprt\n // priredba, predelava: radijska adaptacija teksta; večer poljske satire v adaptaciji našega režiserja\n2. knjiž. prilagoditev okolju: adaptacija organizma na temperaturo / sposobnost socialne adaptacije; priseljevanje v mesta rodi probleme adaptacije\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
adekvát,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n adekvát -a m (ȃ) knjiž. kar je enakovredno, ustrezno: najti antičnemu heksametru primeren slovenski adekvat \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
adépt,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n adépt -a m (ẹ̑) knjiž. \n1. kdor se uvaja v kako vedo: muzikalno znanje tega adepta kompozicije je premalo poglobljeno; mladi adepti modernistične šole\n2. goreč pristaš kake ideologije: adepti panslavizma / eden najbolj vdanih adeptov umetnosti\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ad hóc,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ad hóc in ad hòc [adhok] prisl. (ọ̑; ȍ) knjiž. posebej za ta primer, v ta namen: ad hoc imenovana komisija; neskl. pril.: ad hoc sestanek \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
adícija,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n adícija -e ž (í) mat. seštevanje: adicija ulomkov\n // knjiž. dodajanje, sestavljanje: ljudska pesem se je spreminjala tudi z vidika adicije\n♦ kem. vezanje atomov ali atomskih skupin na molekule nenasičenih spojin \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ad infinítum,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ad infinítum prisl. (ȋ) knjiž. brez konca in kraja, v neskončnost: odlašati ad infinitum; in tako naprej ad infinitum \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aditíven,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n aditíven -vna -o prid. (ȋ) knjiž. ki se dodaja: aditivno mešanje barvnih vtisov\n♦ mat. aditivna konstanta konstanta, ki se prišteje \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
antišambrírati,"antišambrírati -am nedov. (ȋ) zastar. hoditi prosit za posredovanje, zaščito; pritiskati na kljuke: antišambrirati pri knezu \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
apetíten,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n apetíten -tna -o prid. (ȋ) redko ki zbuja apetit, tek: apetitna jed\n // zastar. privlačen, mikaven: apetitna ženska \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
apnénik,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n apnénik -a m (ẹ̄) zastar. apnenec: zemlja je pomešana z apnenikom \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
apník,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n apník -a m (í) zastar. apnenec \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
apotékarica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n apotékarica -e ž (ẹ̑) zastar. lekarnarjeva žena: čitalniške prireditve sta se udeležila tudi apotekar in apotekarica\n // raba peša ženska oblika od apotekar \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aróma,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n aróma m neskl. (ọ̑) zastar. prijeten, plemenit vonj; aroma ž: znal je ceniti pristni aroma čaja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aromát,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n aromát -a m (ȃ) snov, ki daje prijeten, plemenit vonj: dodati pijači aromat\n // zastar. prijeten, plemenit vonj; aroma ž \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aromáten,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n aromáten -tna -o prid. (ȃ) zastar. blago dišeč, vonjav: aromaten gozdni zrak \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
asekurácija,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n asekurácija -e ž (á) zastar. zavarovanje: socialna asekuracija \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
asekuránca,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n asekuránca -e ž (ȃ) zastar. zavarovalnina: izplačati asekuranco\n // zavarovanje: veliko denarja je dal za asekuranco in zdravnika \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
astronómičen,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n astronómičen -čna -o prid. (ọ́) zastar. astronomski: astronomična veda \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
atestát,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n atestát -a m (ȃ) zastar. spričevalo, potrdilo: kljub dobremu atestatu ni dobil službe \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
atomáren,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n atomáren -rna -o prid. (ȃ) kem. ki obstoji iz posameznih prostih atomov: atomarni kisik, vodik\n♦ teh. atomarno varjenje obločno varjenje v atomarnem vodiku\n // zastar. atomski: atomarna energija \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
avanzírati,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n avanzírati -am dov. in nedov. (ȋ) zastar. preiti, biti povišan z nižjega službenega mesta na višje; napredovati: ali je že avanziral; avanzirati v praporščaka; avanziral je za prvega delavca \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
avanzmá,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n avanzmá -ja m (ȃ) zastar. prehod, povišanje z nižjega službenega mesta na višje; napredovanje: končno je dočakal avanzma \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ávbe,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ávbe medm. (ȃ) zastar. joj, ojej: avbe, kod hodi sirota \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
avstrijánski,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n avstrijánski -a -o prid. (ȃ) zastar. avstrijski: avstrijanski denar; avstrijanska zemlja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ážija,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ážija -e ž (ā) zastar. ažio \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bábica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bábica -e ž (á) \n1. stara mati: dedek in babica\n // zastar. stara ženska: Rekši se Smuk vzdigne s praga in korači stari babici naproti (J. Jurčič) \n2. pomočnica pri porodih: diplomirana, izprašana, občinska babica; pren., šalj. bil je za babico pri ustanovitvi društva\n● veliko babic — kilav otrok kjer sodeluje preveč ljudi, ni pravega uspeha\n3. zastar. (živalska) samica, navadno ptica: babica leže jajčka\n4. zgornji del klepalnika: položil je srp na babico\n5. poljud. del manjše priprave za zapenjanje ali vtikanje: kaveljček in babica pri zaponki, zapencu; dedec in babica pri tečaju\n♦ zool. majhna pegasta sladkovodna riba z brčicami, Noemacheilus barbatulus; pisana obrežna morska ribica, Blennius\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
babúza,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n babúza -e ž (ū) zastar. babura: Še ne zmeni se babuza, ko pred njo obstojim in jo začnem z očmi meriti (S. Jenko) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bacníti,"bacníti in bácniti -em dov. (ī á ā) zastar. brcniti: bacniti psa / bacniti kamen s poti / bacnili so ga iz šole \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
