New column,New column (1)
abc,"abc tudi abecé [prva oblika abecé in abəcə̀] m neskl. (ẹ̑; ə̏) \n1. zastar. ustaljeno zaporedje črk v kaki pisavi, zlasti v latinici; abeceda: učiti se abc\n2. ekspr. začetno, osnovno znanje: to je komaj abc tehnike\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
abecédnica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n abecédnica -e ž (ẹ̑) zastar. prvo berilo, abecednik \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
abstraktíven,"abstraktíven -vna -o prid. (ȋ) nanašajoč se na abstrahiranje: abstraktivna metoda\n // zastar. abstrakten: abstraktiven pojem \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
adrijánski,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n adrijánski -a -o prid. (ȃ) zastar. jadranski: sinje adrijansko morje \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
agénda,"agénda -e ž (ẹ̑) \n1. nav. mn. poslovanje, posli: seznanil se je z državnimi agendami; agende oblasti\n2. zastar. zapisnik, dnevnik: šolska agenda\n♦ rel. protestantski cerkveni obrednik\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
akadémičen,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n akadémičen -čna -o prid. (ẹ́) zastar. akademski: akademična mladina / akademična čast, prostost \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
akadémiški,"akadémiški -a -o prid. (ẹ́) zastar. akademski: akademiški študij / akademiško društvo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
akopràm,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n akopràm vez. (ȁ) zastar. čeprav \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
akopràv,"akopràv vez. (ȁ) zastar. čeprav \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
akotúdi,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n akotúdi vez. (ȗ) zastar. čeprav \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
akurát,"akurát prisl. (ȃ) zastar. prav, natanko: akurat tako je hotel imeti \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aliánsa,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n aliánsa -e ž (ȃ) zastar. politična ali vojaška zveza držav: ustanoviti alianso; član alianse\n♦ zgod. sveta aliansa zveza Rusije, Prusije in Avstrije leta 1815 proti revolucionarnim gibanjem, sveta zveza\n // zveza, društvo, organizacija: mednarodna aliansa žena \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
alira,"alira in alura -e [alíra] ž (ȋ) nav. mn., zastar. vedenje, ravnanje, navade: gosposke alire \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
alkohóličen,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n alkohóličen -čna -o prid. (ọ́) nanašajoč se na alkoholike: alkoholična klinika / zastar. alkoholične pijače alkoholne \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
álmožna,"álmožna -e ž (á) zastar. miloščina: deliti, prositi almožno \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
alumnát,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n alumnát -a m (ȃ) zastar. bogoslovje, semenišče: po maturi je šel v alumnat \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
američánski,"američánski -a -o prid. (ȃ) zastar. ameriški: američanski Slovenci \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
angažírati,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n angažírati -am dov. in nedov. (ȋ) \n1. nastaviti, zaposliti, zlasti na umetniškem področju: angažirati umetnika v gledališču\n2. pritegniti, uporabiti za določen namen: angažirali so vse sile, da bi ublažili položaj\n♦ ekon. angažirati kredit\n // publ. povzročiti popolno zaposlenost s kako stvarjo: brigado je angažiral nemški napad\nangažírati se \n1. vključiti se v delo: angažirati se pri delu, v vojaški akciji, v organizaciji, v življenju\n2. zavzeti se, zavzemati se: zelo se angažirati za zadružništvo\n3. zastar. obvezati se za kaj, zagotoviti si: angažirati se za prvi valček\nangažíran -a -o: angažiran v operi; družbeno angažirana literatura\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
anorgáničen,"anorgáničen -čna -o prid. (á) zastar. anorganski: anorganična snov \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
antikvíran,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n antikvíran -a -o prid. (ȋ) zastar. zastarel: antikvirani nazori \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
antišambrírati,"antišambrírati -am nedov. (ȋ) zastar. hoditi prosit za posredovanje, zaščito; pritiskati na kljuke: antišambrirati pri knezu \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
apetíten,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n apetíten -tna -o prid. (ȋ) redko ki zbuja apetit, tek: apetitna jed\n // zastar. privlačen, mikaven: apetitna ženska \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
apnénik,"apnénik -a m (ẹ̄) zastar. apnenec: zemlja je pomešana z apnenikom \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
apník,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n apník -a m (í) zastar. apnenec \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
apotékarica,"apotékarica -e ž (ẹ̑) zastar. lekarnarjeva žena: čitalniške prireditve sta se udeležila tudi apotekar in apotekarica\n // raba peša ženska oblika od apotekar \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aróma,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n aróma m neskl. (ọ̑) zastar. prijeten, plemenit vonj; aroma ž: znal je ceniti pristni aroma čaja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aromát,"aromát -a m (ȃ) snov, ki daje prijeten, plemenit vonj: dodati pijači aromat\n // zastar. prijeten, plemenit vonj; aroma ž \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aromáten,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n aromáten -tna -o prid. (ȃ) zastar. blago dišeč, vonjav: aromaten gozdni zrak \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
asekurácija,"asekurácija -e ž (á) zastar. zavarovanje: socialna asekuracija \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
asekuránca,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n asekuránca -e ž (ȃ) zastar. zavarovalnina: izplačati asekuranco\n // zavarovanje: veliko denarja je dal za asekuranco in zdravnika \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
astronómičen,"astronómičen -čna -o prid. (ọ́) zastar. astronomski: astronomična veda \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
atestát,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n atestát -a m (ȃ) zastar. spričevalo, potrdilo: kljub dobremu atestatu ni dobil službe \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
atomáren,"atomáren -rna -o prid. (ȃ) kem. ki obstoji iz posameznih prostih atomov: atomarni kisik, vodik\n♦ teh. atomarno varjenje obločno varjenje v atomarnem vodiku\n // zastar. atomski: atomarna energija \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
avanzírati,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n avanzírati -am dov. in nedov. (ȋ) zastar. preiti, biti povišan z nižjega službenega mesta na višje; napredovati: ali je že avanziral; avanzirati v praporščaka; avanziral je za prvega delavca \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
avanzmá,"avanzmá -ja m (ȃ) zastar. prehod, povišanje z nižjega službenega mesta na višje; napredovanje: končno je dočakal avanzma \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ávbe,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ávbe medm. (ȃ) zastar. joj, ojej: avbe, kod hodi sirota \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
avstrijánski,"avstrijánski -a -o prid. (ȃ) zastar. avstrijski: avstrijanski denar; avstrijanska zemlja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ážija,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ážija -e ž (ā) zastar. ažio \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bábica,"bábica -e ž (á) \n1. stara mati: dedek in babica\n // zastar. stara ženska: Rekši se Smuk vzdigne s praga in korači stari babici naproti (J. Jurčič) \n2. pomočnica pri porodih: diplomirana, izprašana, občinska babica; pren., šalj. bil je za babico pri ustanovitvi društva\n● veliko babic — kilav otrok kjer sodeluje preveč ljudi, ni pravega uspeha\n3. zastar. (živalska) samica, navadno ptica: babica leže jajčka\n4. zgornji del klepalnika: položil je srp na babico\n5. poljud. del manjše priprave za zapenjanje ali vtikanje: kaveljček in babica pri zaponki, zapencu; dedec in babica pri tečaju\n♦ zool. majhna pegasta sladkovodna riba z brčicami, Noemacheilus barbatulus; pisana obrežna morska ribica, Blennius\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
babúza,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n babúza -e ž (ū) zastar. babura: Še ne zmeni se babuza, ko pred njo obstojim in jo začnem z očmi meriti (S. Jenko) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bacníti,"bacníti in bácniti -em dov. (ī á ā) zastar. brcniti: bacniti psa / bacniti kamen s poti / bacnili so ga iz šole \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bagáža,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bagáža -e ž (ȃ) \n1. zastar. prtljaga, oprema: naložiti bagažo na voz\n2. redko svojat, drhal: bagaža ste, vsi skupaj!\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
báhati se,"báhati se -am se in baháti se -ám se nedov. (á; á ȃ) čez mero se hvaliti: ta človek se rad baha; baha se, da ima vsega dovolj; bahati se z zmagami / baha se s svojimi predniki\n // postavljati se, ponašati se: kupila si je klobuk, da bi se bahala pred drugimi; zastar. na gostiji so bahali z vinom\n● bahati se s pavjim perjem s čim tujim \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bájeven,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bájeven -vna -o prid. (á) zastar. tak kot v bajki; bajen: bajevni dogodki in čudeži / bajevne zeli čarovne \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bájtati,"bájtati -am nedov. (ȃ) zastar. med gradnjo pažiti, podpirati z lesom \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bakláč,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bakláč -a m (á) zastar. baklonosec: sprevod baklačev \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
baletéza,"baletéza -e ž (ẹ̑) zastar. baletka \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
balíšče,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n balíšče -a s (í) zastar. nevestina oprema; bala: nevesta je imela lepo bališče \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bášti,"bášti prisl. (ȃ) zastar. poudarja trditev; prav, ravno: bašti tedaj ni mogel na semenj \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
batálja,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n batálja -e ž (á) zastar. boj, bitka: krvava batalja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
