Entry content,Entrycontent link
"adónis -a m (ọ̑) knjiž., ekspr. zelo lep mladenič, lepotec: bil je pravi adonis / iron. menda se ima za adonisa \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",adónis
"àli prisl. (ȁ) v medmetni rabi izraža veliko mero povedanega: ali smo se smejali! ali sem tekel! ali ti zna lagati! ali si natančen! ali si ti smešen! ali bo mati vesela! ali bi bil neumen, če bi dal! / iron. ali si (mi) pameten! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",àli
"alójzijevski -a -o prid. (ọ́) ekspr. po lastnostih, značilnostih podoben sv. Alojziju: alojzijevski mladenič / iron. njegova mladost ni bila alojzijevska \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",alójzijevski
"Amêrika -e ž (ȇ) celina med Atlantskim in Tihim oceanom: Severna Amerika; odkritje Amerike / Latinska Amerika države Srednje in Južne Amerike\n● iron. misli, da bo odkril Ameriko kaj novega; šalj. stric iz Amerike bogat in radodaren človek\n // pog. Združene države Amerike: izseliti se v Ameriko \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",Amêrika
"àmpak prisl. (ȁ) pog., v medmetni rabi \n1. izraža veliko mero: ampak smo imeli srečo! / iron. ampak si pameten!\n2. izraža začudenje, nevoljo: ampak, da je to mogoče! ampak, otroci, tega pa ne!\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",àmpak
"ampakovánje -a s (ȃ) nav. iron. raba veznika ampak v stavkih, ki niso protivni: Cankar v svojih prvih knjigah ni poznal ampakovanja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",ampakovánje
"apartmá -ja m (ȃ) \n1. večsobno, razkošno stanovanje, zlasti v hotelu: ima eleganten apartma; najela je apartma v najboljšem hotelu\n2. iron. majhno, skromno stanovanje: izvolite v moj apartma\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",apartmá
"ás1 -a m (ȃ) \n1. igralna karta z enim znakom na sredi, navadno z najvišjo vrednostjo: dvignil je karte, imel je tri ase; vreči asa; pikov, srčni as\n2. ekspr. kdor se posebno odlikuje v čem, zlasti v športu: dirkalni, nogometni as; tekmovanja se bo udeležilo nekaj najbolj znanih smučarskih asov / letalski as / nav., iron. ti si pa as\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",ás
"babšè tudi babščè -éta s (ȅ ẹ́) slabš. drobna ženska, navadno starejša: grdo, klepetavo, suho babše\n // iron. ženska sploh: vsako babše ga zmeša \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",babšè
"barón -a m (ọ̑) \n1. v nekaterih deželah plemič, za stopnjo nižji od grofa: grofje in baroni; nositi se, živeti kakor baron bahaško, imenitno\n // baron Žiga Zois\n2. redko gospodarski mogotec: industrijski baroni\n3. iron. kdor se dela imenitnega: poglejte ga, barona baronastega\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barón
"barónček -čka m (ọ̑) \n1. baronov sin: mladi baronček\n2. iron. baron: ti grofički in barončki\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barónček
"bedákovič -a m (á) nav. iron. bedak \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bedákovič
"Benétke -nétk ž mn. (ẹ̑) v zvezah: iron. tu gor se usedi, pa boš Benetke videl kar pričakuješ, ne boš dobil; ekspr. tako te bom, da boš Benetke videl zelo te bom pretepel \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",Benétke
"birokrácij -a m (á) iron. birokrat: birokracij problema ni mogel sam rešiti / šalj. ali je sveti Birokracij zadremal? birokratizem, birokracija \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",birokrácij
