Entry content,Entrycontent link
"abecédar -ja m (ẹ̑) \n1. ekspr. učenec, ki se uči abecede: mali abecedar\n2. slabš. kdor uvaja svoj črkopis: abecedar Metelko\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",abecédar
"administratíven -vna -o prid. (ȋ) \n1. nanašajoč se na upravljanje, upraven: zmanjšati administrativni aparat; administrativna razdelitev na občine; administrativno-operativni organi\n // nav. slabš. določen z uradnim odlokom: z administrativnimi in birokratskimi ukrepi problema ne bomo rešili; administrativno planiranje; administrativno ustanavljanje zadrug\n♦ zgod. administrativni socializem\n2. nanašajoč se na pisarniške posle, pisarniški: opravljati administrativne posle / obiskovati administrativni tečaj; dveletna administrativna šola\nadministratívno prisl.: administrativno določene cene\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",administratíven
"áfna -e ž (á) nižje pog. opica: afne skačejo po drevesih\n // slabš. človek z nenaravno, izumetničeno zunanjostjo ali vedenjem, zlasti ženska: to je šele afna\n● nižje pog. že spet afne gunca dela ali govori kaj šaljivega \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",áfna
"agentúra -e ž (ȗ) \n1. raba peša podjetje, ki opravlja posredniške posle; agencija: imeli so agenturo in špedicijo; ladijska agentura\n // opravljanje agentskih poslov: trgovska agentura mu dobro nese; zavarovalna agentura\n2. redko obveščevalni, poročevalski urad: časopisna agentura\n3. slabš. tajno poizvedovalno in obveščevalno delovanje: oblast ne bo dopustila tuje agenture v državi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",agentúra
"akademízem -zma m (ī) knjiž. na tradiciji in šoli sloneče, neustvarjalno umetnostno izražanje: tako posnemanje vodi v akademizem; epigonski, katedrski, okosteneli akademizem; literarni, slikarski akademizem\n // slabš. samo teoretično, neživljenjsko reševanje problemov: turizem brez gradnje cest in hotelov je zgolj akademizem \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",akademízem
"akadémski -a -o prid. (ẹ̄) \n1. nanašajoč se na šole najvišje stopnje: akademski poklic; akademski slikar; akademska izobrazba / akademski naslov; akademska čast / predavanje se bo začelo brez akademske četrti tradicionalne četrturne zakasnitve\n // nanašajoč se na slušatelje teh šol: akademski pevski zbor; akademsko društvo\n2. nanašajoč se na najvišjo znanstveno in umetniško ustanovo: seja akademskega sveta\n3. knjiž. strogo strokoven, znanstven: akademska diskusija; delo je na akademski višini\n // slabš. samo teoretičen, neživljenjski: pusto akademsko razpravljanje\nakadémsko prisl.: akademsko izobražen človek\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",akadémski
"aktivístičen -čna -o prid. (í) nanašajoč se na aktiviste ali aktivizem: aktivistični miting; aktivistična mladina; rezultat aktivističnega dela / spominjal se je svojih partizanskih in aktivističnih povojnih let / slabš. aktivistično poseganje v družbeni razvoj \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",aktivístičen
"aktivístovski -a -o prid. (ȋ) nanašajoč se na aktiviste: aktivistovska vnema / slabš. aktivistovski stil v njegovi noveli \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",aktivístovski
"aktivízem -zma m (ī) dejavnost, delovanje: dvigniti se iz omrtvelosti k zavestnemu aktivizmu; bil je poln življenjskega aktivizma; aktivizem mladine\n // med narodnoosvobodilnim bojem in prva leta po 1945 politično delovanje med ljudstvom: doba njegovega partizanstva in terenskega aktivizma / slabš. parolarski aktivizem \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",aktivízem
"aktualístičen -čna -o prid. (í) ki poudarja sodobno problematiko: idejna in aktualistična poezija / slabš. aktualistično, poenostavljajoče pisarjenje \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",aktualístičen
"amatêr -ja m (ȇ) kdor se iz veselja, nepoklicno ukvarja s čim: s slikarstvom se ukvarja kot amater; fotograf, igralec amater; tečaj za voznike amaterje\n // slabš. kdor nestrokovno, površno opravlja kako delo: imajo dovolj strokovnjakov in ne potrebujejo amaterjev \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",amatêr
"amaterízem -zma m (ī) ukvarjanje s čim iz veselja; nepoklicna dejavnost, ljubiteljstvo: dramski, glasbeni amaterizem; profesionalizem in amaterizem\n // slabš. nestrokovno, površno opravljanje kakega dela: jugoslovanska kinematografija se je otresla banalnega amaterizma \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",amaterízem
"amatêrstvo -a s (ȇ) ukvarjanje s čim iz veselja, nepoklicna dejavnost, ljubiteljstvo: alpinizem je zanj predvsem amaterstvo; gledališko amaterstvo\n // slabš. nestrokovno, površno opravljanje kakega dela: to ni umetnost, to je amaterstvo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",amatêrstvo
"ambicióznež -a m (ọ̑) nav. slabš. ambiciozen človek: karieristi in ambiciozneži; tistega težkega tekmovanja so se udeležili le največji ambiciozneži \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",ambicióznež
"amerikanízem -zma m (ī) nav. slabš. način življenja in mišljenja, značilen za Ameriko: amerikanizem se širi povsod po svetu; brezdušni, tipični amerikanizem\n // lingv. element ameriške angleščine v kakem drugem jeziku: amerikanizmi v francoščini \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",amerikanízem
"amerikánščina -e ž (ȃ) nav. slabš. ameriška angleščina: kot Anglež ni prenesel njegove amerikanščine; v filmu govorijo čisto amerikanščino / stric Janez je govoril čudno amerikanščino materinščino s primesmi ameriške angleščine\n // pog. amerikanizem: navdušuje se za kavbojke in vso tisto amerikanščino \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",amerikánščina
"analfabét -a m (ẹ̑) kdor ne zna pisati in brati, nepismen človek: njegov ded je analfabet; število analfabetov pada\n // slabš. kdor se na kako stroko slabo spozna, nevednež: v politiki je popoln analfabet; tehnični analfabet \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",analfabét
"analfabetízem -zma m (ī) neznanje branja in pisanja; nepismenost: odpraviti analfabetizem; boj proti analfabetizmu\n // slabš. nevednost v kaki stroki: politični analfabetizem \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",analfabetízem
"aparátčik -a m (ȃ) slabš., zlasti v sovjetskem okolju aktivist, funkcionar partijskega aparata, ki nekritično, brez premisleka izpolnjuje navodila nadrejenih: sekretar komiteja je bil aparatčik \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",aparátčik
"áškrc -a m (ȃ) nar. vzhodnoštajersko \n1. majhen kos, odrezek: aškrc platna\n2. slabš. majhen človek, otrok: ta aškrc mi povzroča same skrbi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",áškrc
"avantúra -e ž (ȗ) nenavaden, vznemirljiv doživljaj, pustolovščina: doživeti, iskati avanture; pripovedoval je o svojih avanturah; čudovita avantura / spuščati se v erotične avanture\n // nav. slabš. nevaren poskus, tvegano dejanje: izkušenj pri delu nimajo, zato naj se nikar ne spuščajo v avanture; politična avantura imperialistov \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",avantúra
"avanturíst -a m (ȋ) kdor išče, ljubi avanture, pustolovec: bil je nemirnež in avanturist; mladostni avanturist\n // nav. slabš. kdor se loti nevarnih poskusov, tveganih dejanj: okupatorje je imel za avanturiste, ki bodo propadli; politični avanturist \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",avanturíst
"avanturízem -zma m (ī) nagnjenje k avanturam, pustolovstvo: to je storil iz avanturizma; mladostni avanturizem; težnja mladine po avanturizmu / nav., slabš. obsojati politični avanturizem \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",avanturízem
