ID, SpokenWords, VocabularySize, NumberOfSpeechesPerSession
2,220712,8042,6
3,129797,5199,21
4,53160,4007,10
8,159063,6835,4
10,240860,10321,3
11,351849,10245,73
12,64250,4447,2
14,11074,1792,1
16,29410,3329,1
17,177001,8218,10
19,26563,3164,1
21,100034,6021,2
22,96177,5312,12
23,171305,6916,4
26,241926,8568,5
27,18856,2491,1
29,123390,6267,44
31,41090,4419,3
32,355440,11931,7
33,49697,3841,3
34,31768,4199,6
35,108817,5465,3
39,8008,1858,1
40,53305,4640,1
41,25688,3447,2
42,194247,9522,5
43,31987,2817,3
44,16579,2187,2
45,56763,4539,2
47,70199,4511,3
49,154328,6946,3
50,42034,3642,2
51,106719,5168,3
52,28628,2976,2
53,217019,8041,7
54,125197,6818,4
55,162150,8164,11
57,106068,7585,11
60,66122,4003,2
61,130195,7249,33
62,97186,6534,10
64,53160,3553,2
65,162131,5792,7
66,143060,6162,3
68,3991,1220,1
70,19005,3462,1
71,49151,3972,3
72,53032,3715,8
73,66959,5080,3
74,33563,3002,1
75,242031,7703,10
76,44256,3327,1
77,19735,2859,2
80,170348,10035,4
82,285474,12403,7
84,22592,2898,1
86,167260,7813,4
87,47664,3906,4
88,124916,6412,10
89,36751,3588,2
91,58435,4174,3
96,28922,3512,2
69,231451,8627,10
67,53588,3737,10
48,51205,3948,2
78,234244,8721,8
25,256555,8835,6
37,64819,5101,3
81,134552,6945,3
7,81470,5467,13
18,53778,3868,2
95,47593,4612,2
83,204154,6870,3
85,33457,3819,3
1356,73106,5405,6
1354,31852,3342,1
36,65476,5304,4
1357,7695,1958,1
46,121323,6053,11
30,77174,5677,3
1356,73106,5405,6
15,91659,5752,4
28,46142,3901,3
9,131382,5658,5
92,111695,5253,3
58,207802,8736,5
63,90489,5766,3
